id,name,created_at,updated_at,client_short,platform_name
5ac136e4-cb99-481e-8f25-92d9399000d3,Carbonleo / Royalmount,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CAROY,CARB ROYAL
5c01bdb3-ef1f-45d3-92bf-e330dccdc6d9,B&B Hotels,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,BBHO,BB HOTELS
5d1fd208-8888-4753-9965-2dde75cde3dc,Owensboro Health,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,OWHE,OWENSBORO
5ea07833-72e7-41b3-b0d9-1e89ce069426,SUNY Old Westbury,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SOW,SUNY OLDW
65c0fcaf-ff2c-4f64-8a7e-5ecd3871186a,University of Notre Dame - Mendoza School of Business,2025-06-03 21:36:21.159601+00,2025-06-03 21:36:21.159601+00,NDMSB,NDMSB
6701d823-1d2a-4e2f-8b98-9bd98bbea08c,New York State Olympic Regional Development Authority,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,NYSOR,NYS OLYMP
6e393d98-32c4-443c-bb34-97fbef356442,Suffolk County Community College (SUNY Suffolk),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SCCC,SUFFOLKCCC
7361e5dd-3da4-411c-9fdb-e9dda1fd2936,Harvard University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,HAVA,HARVARD
73cf29d9-fffa-4323-9c55-08d8d15493ec,University of North Carolina (UNC),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UNCAR,UNC
7469ce7d-fc5c-4906-96ef-30bb12f4f5fe,Autodesk,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,AUTOD,AUTODESK
75e7f637-3c59-46a3-8052-009df1d5ac09,CertainTeed,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CTD,CTD
7cf68fa6-f87c-4bb2-8a73-c2152cabdc96,University of Maine System,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UOMS,UNI OF MAINE
7e57883e-6cb6-4fe5-b3a4-a50b02b46469,SUNY Geneseo,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SUGEN,SUNY GENES
7f5f9784-26dd-4887-93ab-31fbfaf9186c,Banner Solutions,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,BASO,BANNER SOL
819fb3a1-d98d-4f67-bf0a-29aa867b4b79,Honor,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,HONO,HONOR
8525213c-3b51-417b-aca6-bd04c140c1b6,UFC,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,UFC,UFC
8858c9fb-a69c-4cf4-a1ed-a9a472479fae,Fulton Fish Market,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,FFM,FULTON FIS
89271187-4682-4095-9c48-ac5f3e482d02,Veterans Advantage,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,VETA,VETERANS A
8934e800-081f-4899-a79d-4427ef6db7a3,American Bankruptcy Institute (ABI),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ABI,ABI
89f14636-4593-4e9e-90df-68c2d6da4c69,Mayville State University (UND System),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,MASU,MAYVIL UNI
8ee2e444-82f9-4a16-ba77-455bd3d00f9c,Cornell University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CORNU,CORNEL UNI
